start_frame,end_frame,comment,duration_s,num_samples,sample_rate_hz,velocity_mean,velocity_std,velocity_min,velocity_max,velocity_range,acceleration_mean,acceleration_std,acceleration_min,acceleration_max,acceleration_range,jerk_mean,jerk_std,jerk_min,jerk_max,jerk_rms,max_deceleration,deceleration_events,velocity_zero_crossings,acceleration_reversals,motion_smoothness,jerk_per_second,accel_changes_per_second,distance_traveled,clip_name,scene_id,total_frames,fps
157,206,unknown object ahead,0.25,41,164.0,-5.415677582279926,36.861203281099364,-50.0,50.0,100.0,0.21971258762854573,12.704681717631267,-20.0,20.0,40.0,-6.062204813484236,37.10006270619305,-50.0,50.0,37.14288479522452,-20.0,13,14,25,0.026217209457770216,148.57153918089807,100.0,-1.3539193955699815,01bb304d7bd835f8bbef7086b688e35e__Summer_2019.mp4,01bb304d7bd835f8bbef7086b688e35e__Summer_2019,319,10.0
251,289,left turn overshoot nearmiss,3.7924989461898804,570,150.29667986398476,3.0721974504292233,1.4195497135054735,0.5075121748700316,6.1359034803206125,5.628391305450581,-1.2005719369801184,12.080730469559883,-20.0,20.0,40.0,-2.1593791905211797,49.55811886791569,-50.0,50.0,49.56169165543818,-20.0,331,0,270,0.019777819278964822,13.06834684957003,71.19316414609804,11.651305593240068,0262e2af16044492b13ca051d6ab4d80__Spring_2020.mp4,0262e2af16044492b13ca051d6ab4d80__Spring_2020,580,10.0
200,235,stop sine overshoot,3.494977056980133,524,149.92945345763357,-3.7029222809458457,0.2594756733180688,-4.404495237519322,-3.140080271321844,1.2644149661974784,0.0010037211362969578,13.425638916215137,-20.0,20.0,40.0,0.2553766889137369,49.74548752473632,-50.0,50.0,49.69865391963977,-20.0,254,0,243,0.019724389558449747,14.220022938457383,69.52835341642168,-12.941628415686273,04akO6mLeIFQRjbq9XwT71QNx0IJ0sTy__Spring_2020.mp4,04akO6mLeIFQRjbq9XwT71QNx0IJ0sTy__Spring_2020,1142,10.0
451,527,narrow near miss,7.594977021217346,1139,149.96753733659585,-1.714682294414568,1.3284478934526902,-5.4863745872632395,0.06584543220725594,5.552220019470496,-0.5328813350454129,10.201833244580977,-20.0,20.0,40.0,2.5818185312606805,48.651764020887185,-50.0,50.0,48.698889060194034,-20.0,625,12,557,0.020121174112942956,6.411986359425275,73.33794407066189,-13.022972624766881,04akO6mLeIFQRjbq9XwT71QNx0IJ0sTy__Spring_2020.mp4,04akO6mLeIFQRjbq9XwT71QNx0IJ0sTy__Spring_2020,1142,10.0
201,239,oversteer unnessarily,3.7977137565612793,570,150.09030078036176,-1.4960954534563475,0.7651351817470874,-3.664361339872265,0.07725997299434584,3.7416213128666107,-0.3889391867851831,9.052602656789844,-20.0,20.0,40.0,-3.139270710628866,48.839379270570674,-50.0,50.0,48.897395407730066,-20.0,316,8,287,0.020041126231712704,12.87548207740787,75.57178302449795,-5.681742284719956,05lBLQJs4ilyORCox6j9ndWAKZc31rs9__Autumn_2020.mp4,05lBLQJs4ilyORCox6j9ndWAKZc31rs9__Autumn_2020,1170,10.0
11,49,man crossing,3.797615349292755,483,127.1850768377453,3.736656814790235,1.6035647411214702,-2.08300977619602,7.35367498800458,9.4366847642006,1.4974613586760361,12.93269234025058,-20.0,20.0,40.0,1.901513171765523,49.167702208570205,-50.0,50.0,49.15357152392289,-20.0,196,2,221,0.019938759486410797,12.943272818053297,58.19441403963087,14.190385274886772,07YOTznatmYypvQYpzviEcU3yGPsyaGg__Spring_2020.mp4,07YOTznatmYypvQYpzviEcU3yGPsyaGg__Spring_2020,1149,10.0
265,313,stop sign overshoot,4.797173738479614,720,150.088372706758,3.896109147793604,2.101617199561373,-0.7799291735912846,7.777415778832159,8.557344952423444,1.5775032534967774,13.242220268424859,-20.0,20.0,40.0,1.4248996428279397,49.35993497395558,-50.0,50.0,49.34622200654088,-20.0,283,2,325,0.019862463560226664,10.28651966692796,67.74822379124494,18.690312486045666,07YOTznatmYypvQYpzviEcU3yGPsyaGg__Spring_2020.mp4,07YOTznatmYypvQYpzviEcU3yGPsyaGg__Spring_2020,1149,10.0
392,479,bicycle,8.699701011180878,1306,150.12010163585225,4.187530875813982,1.5165634638851442,0.4236275014920605,6.656412279370011,6.232784777877951,-0.25753615724766554,13.076958024791521,-20.0,20.0,40.0,-0.31395279698615003,49.527319074449686,-50.0,50.0,49.50934943068658,-20.0,709,0,612,0.01979831479263634,5.690925396982843,70.34724517698436,36.430266594670044,07YOTznatmYypvQYpzviEcU3yGPsyaGg__Spring_2020.mp4,07YOTznatmYypvQYpzviEcU3yGPsyaGg__Spring_2020,1149,10.0
124,326,in parking lane - near miss,20.190057039260864,3030,150.07387022770516,-2.9423941994846934,1.898930722983339,-7.470269569165932,0.7938904783101578,8.26416004747609,0.0417090004000667,11.636618659605046,-20.0,20.0,40.0,0.8071377237401861,48.94171935136215,-50.0,50.0,48.940298721966656,-20.0,1568,81,1460,0.0200239090592412,2.4239802109919304,72.31282195790413,-59.40710671958627,0CjqAXeTID58UXtezwdAag5zt6bpsKFp__Summer_2020.mp4,0CjqAXeTID58UXtezwdAag5zt6bpsKFp__Summer_2020,1143,10.0
378,482,traffic cones avoided,10.394977033138275,1559,149.9762813356917,-10.462707548604037,0.5140630144221366,-13.006814358356646,-6.917149769386102,6.089664588970544,-0.4173557682918219,16.758568063253144,-20.0,20.0,40.0,-0.847314527197426,49.88951770512116,-50.0,50.0,49.88071175938643,-20.0,791,0,752,0.019653813113483437,4.798539871744891,72.3426321773189,-108.75960467218142,0OF3lawgf9vsILBoZVT27MF8zDNuq7zh__Autumn_2020.mp4,0OF3lawgf9vsILBoZVT27MF8zDNuq7zh__Autumn_2020,1155,10.0
300,378,oversteering near miss,7.797568321228027,1170,150.04677763640785,-8.784450012859871,2.056741935504144,-14.150995101101929,-4.237321518683363,9.913673582418566,-0.5681369904183272,15.890309569360701,-20.0,20.0,40.0,-0.558053872574425,49.87512365448766,-50.0,50.0,49.856928218673985,-20.0,611,0,545,0.01966300433443822,6.393907198343354,69.89358445456605,-68.49734913968727,0Pl6cyE1PWIIFx3ldUI1C0sP8H5qpRp6__Spring_2020.mp4,0Pl6cyE1PWIIFx3ldUI1C0sP8H5qpRp6__Spring_2020,1150,10.0
178,238,bicycle crossed,5.997302293777466,900,150.06747299261536,-0.0008194673458343085,0.009741150420192841,-0.09510277917037376,0.020542570159825066,0.11564534933019882,-0.007600535087512574,1.6658528425380428,-15.682160326440433,12.182311763594205,27.86447209003464,2.169277749943942,45.09557256532428,-50.0,50.0,45.122686794397346,-15.682160326440433,445,273,459,0.021681304136893276,7.523830646524962,76.53441122623383,-0.00491459339284783,0RRXOItl29gFaocqQW297gkzqmpP0mog__Summer_2020.mp4,0RRXOItl29gFaocqQW297gkzqmpP0mog__Summer_2020,548,10.0
69,249,dark to bright occlusion,17.99741166830063,2700,150.02157253287646,3.070141110259244,0.9264602106901353,0.9959050444139308,5.818087943191976,4.8221828987780455,-0.09005533285401165,12.187109817851708,-20.0,20.0,40.0,-1.017829738212106,49.74888125243631,-50.0,50.0,49.75008054925779,-20.0,1383,0,1239,0.019704402223153217,2.764290858384046,68.84323272897554,55.254593441109165,0WHfUzbQi8mopDFgQ7BH7lGjgCEygaoN__Summer_2020.mp4,0WHfUzbQi8mopDFgQ7BH7lGjgCEygaoN__Summer_2020,1161,10.0
599,913,unnecessary halt,0.0,1,0.0,-8.91836225744305,,-8.91836225744305,-8.91836225744305,0.0,-4.850510823300795,,-4.850510823300795,-4.850510823300795,0.0,50.0,,50.0,50.0,50.0,-4.850510823300795,1,0,0,0.0196078431372549,0.0,0.0,0.0,0We5t9hiPmE10moaFT87PUUCdPVhIcev__Spring_2020.mp4,0We5t9hiPmE10moaFT87PUUCdPVhIcev__Spring_2020,1150,10.0
299,359,leading car backed up -near miss,5.994977056980133,899,149.9588724786306,3.809655576273672,0.2730959523553411,3.0685645568261153,4.941201705102296,1.8726371482761808,0.21605410317843288,11.65276814219211,-20.0,20.0,40.0,1.0226923321013646,49.546237553653384,-50.0,50.0,49.52923311336244,-20.0,443,0,476,0.019790523987500423,8.261788601124678,79.39980344808473,22.83879777475709,0Zs4IX50w6IbmSGnMBo0dIUyi2fpbgBF__Winter_2021.mp4,0Zs4IX50w6IbmSGnMBo0dIUyi2fpbgBF__Winter_2021,1164,10.0
44,100,pedestrian crossing,5.59749835729599,840,150.06703823416265,2.529004392399216,0.8849561164196119,0.3599538500030207,4.486546538937862,4.126592688934841,0.5076679561672864,11.818676610634231,-20.0,20.0,40.0,-0.9147972800571029,49.663892226294784,-50.0,50.0,49.64275106192649,-20.0,397,0,391,0.01974616265963098,8.868738835308502,69.85263327328286,14.156097932048954,0cfNzxkFwK3x3JB9HpcKIqoRCztSAreo__Winter_2021.mp4,0cfNzxkFwK3x3JB9HpcKIqoRCztSAreo__Winter_2021,1164,10.0
277,361,near miss,8.397431313991547,1260,150.04588342397346,0.0009674410747499076,0.010607241573323536,-0.18987695986438688,0.08020119630873394,0.2700781561731208,-0.017551178903185204,1.5318400277674622,-20.0,18.923621367401395,38.923621367401395,-1.7733736546694283,30.15493298894638,-50.0,50.0,30.19508495037365,-20.0,588,539,681,0.032056332002007325,3.5957525368577308,81.09622746962376,0.008124019975546511,0cfNzxkFwK3x3JB9HpcKIqoRCztSAreo__Winter_2021.mp4,0cfNzxkFwK3x3JB9HpcKIqoRCztSAreo__Winter_2021,1164,10.0
138,242,traffic cones in horizon,6.1349687576293945,1036,168.86801562137367,-6.799948122964879,36.8209573660697,-50.0,50.0,100.0,-0.09721575441746463,14.531897577638883,-20.0,20.0,40.0,0.6149008888657899,40.55031221368133,-50.0,50.0,40.53540100596159,-20.0,401,462,673,0.024075847970180177,6.6072709751866485,109.69901014786147,-41.717469287890175,0f0cdd79bc6c35cd9d997ae2fc7e165c__Winter_2020.mp4,0f0cdd79bc6c35cd9d997ae2fc7e165c__Winter_2020,399,10.0
175,259,right turn hesitation - letting bicycle pass from right,8.399739027023315,1261,150.12371169427522,0.25434753167085317,0.5037331625134097,-0.3604755266095466,2.109118750031184,2.4695942766407306,0.12143547397230992,6.36515830110655,-20.0,20.0,40.0,8.587695830736166,45.20238786865049,-50.0,50.0,45.993304328518214,-20.0,593,148,666,0.021279627263689628,5.475563488407239,79.28817762758706,2.1364528882027143,0htBS9K6xCKaDSUd6bGlIfnaQQjbAVqe__Spring_2020.mp4,0htBS9K6xCKaDSUd6bGlIfnaQQjbAVqe__Spring_2020,1150,10.0
243,305,turn oversteering,6.199523031711578,931,150.17284317483492,3.389241221729905,0.4169867821888093,2.3146388023226265,4.648904844556371,2.334266042233745,-0.09589734735507023,12.700886585131954,-20.0,20.0,40.0,0.7183965823946232,49.80136894802685,-50.0,50.0,49.779799627610295,-20.0,471,0,440,0.019692870143904112,8.029617661387569,70.97320193010458,21.011679014140835,0lLkS11st5JnckGoPM8NaF8Pe6ArUx0p__Autumn_2020.mp4,0lLkS11st5JnckGoPM8NaF8Pe6ArUx0p__Autumn_2020,1174,10.0
450,556,protected left hesitation,10.594977021217346,1589,149.97672923857144,-3.044940826216296e-05,0.0005682496986579868,-0.004268733907105596,0.0018941009195069904,0.006162834826612586,0.0008684323700606897,0.1512959461442319,-1.0102806297319828,1.2387300986409768,2.2490107283729595,0.1328992943705686,27.905662531225826,-50.0,50.0,27.897196822017705,-1.0102806297319828,804,759,877,0.03460543270543348,2.633058737753861,82.77507334312595,-0.00032261078084728215,0o93nP9r00gjOTeCuZYMzfThO7NGwvqM__Autumn_2020.mp4,0o93nP9r00gjOTeCuZYMzfThO7NGwvqM__Autumn_2020,1150,10.0
244,310,stop sign overshoot,6.594977080821991,989,149.9626136497099,-5.513334554645813,2.6042680684926967,-9.842372319238653,0.9329632049738934,10.775335524212545,-0.8205178843395928,14.969565783728966,-20.0,20.0,40.0,-1.7075283273635766,49.76810818141345,-50.0,50.0,49.772239569956696,-20.0,541,1,455,0.01969580243987754,7.546992045611952,68.99190011184835,-36.36031502679306,12ADHiKS291vbdKttFbQM5HvYZiMpXqq__Autumn_2020.mp4,12ADHiKS291vbdKttFbQM5HvYZiMpXqq__Autumn_2020,1146,10.0
240,298,stop sign overshoot,5.799383997917175,871,150.18836488717008,-0.10542806180578716,0.07740562986290508,-0.4690850957472104,0.04422490599664328,0.5133100017438537,-0.036866782185537156,5.918850761699595,-20.0,20.0,40.0,2.8452109728233146,48.02140309602033,-50.0,50.0,48.07809049757818,-20.0,443,57,440,0.020375690860453224,8.290206427931867,75.87012692348432,-0.611417814567905,12ClGooZWzAdgpy9ljqlxMCvkJxiy8wt__Autumn_2020.mp4,12ClGooZWzAdgpy9ljqlxMCvkJxiy8wt__Autumn_2020,1149,10.0
489,529,risky launch - near miss,3.999188005924225,601,150.28050672029033,-0.08640180556113929,0.04641275130883466,-0.323100144982946,-0.0028824217552914297,0.32021772322765457,-0.07428210593088379,5.716349933976168,-20.0,20.0,40.0,5.6818863683010985,48.01463355397389,-50.0,50.0,48.30996708285576,-20.0,295,0,303,0.020279875634873077,12.0799439814511,75.76538025997999,-0.34553706449030525,12ClGooZWzAdgpy9ljqlxMCvkJxiy8wt__Autumn_2020.mp4,12ClGooZWzAdgpy9ljqlxMCvkJxiy8wt__Autumn_2020,1149,10.0
122,231,stopped car on right lane,10.900000035762787,1636,150.0917426268166,1.0860134493779332,4.542182351475314,-9.06674191314981,8.050280763456035,17.117022676605846,1.2238348799074263,13.471178998360854,-20.0,20.0,40.0,1.7727957004226638,49.727437017755996,-50.0,50.0,49.743836748988436,-20.0,728,7,761,0.01970682676098462,4.563654732640314,69.81651353240063,11.83754663705834,15eb911365cc45e897494de6a5356092__Summer_2020.mp4,15eb911365cc45e897494de6a5356092__Summer_2020,752,10.0
